Frecuencia (Hz),Archivo,CH1_Max_Promedio (V),CH1_Max_Std (V),CH1_Min_Promedio (V),CH1_Min_Std (V),CH2_Max_Promedio (V),CH2_Max_Std (V),CH2_Min_Promedio (V),CH2_Min_Std (V)
100,RigolDS0m1.csv,1.1129568783783783,0.009894995472668349,-1.0014494936585365,0.2212623553252577,2.8357918584070796,0.02004343914763393,0.6534900151162791,0.034023836445339156
200,RigolDS0m2.csv,1.114115,0.0,-1.0286360207253886,0.0030764094136508397,2.7223046699507387,0.030115544202704545,0.4922125909814324,0.0229441111438791
400,RigolDS0m3.csv,1.114115,0.0,-1.028414,0.0,2.6198301136363633,0.01538657167750796,0.48152152912912916,0.023538182541867073
800,RigolDS0m4.csv,1.114115,0.0,-1.028414,0.0,2.6420500311557786,0.03880004499943044,0.7594868186228482,0.022438741361228396
1600,RigolDS0m5.csv,1.0871158019093077,0.020687821051135726,-1.0285367793696274,0.0022904194408301212,2.427760557692308,0.07253917980247879,1.0801006303773584,0.05901693815168583
3200,RigolDS0m6.csv,1.0747848783439489,0.011767606961641393,-1.0045803910662823,0.021289796733981313,2.139728119205298,0.047810187698418195,1.2555631197519084,0.03247537180634541
6400,RigolDS0m7.csv,1.0721125346534652,0.005969970467055258,-0.9885917559407607,0.010982524322451942,1.8107382881685579,0.049650358632169204,1.338346015205271,0.04251341823175799
12800,RigolDS0m8.csv,1.0718553841532714,0.004999166644061987,-0.9863320053071326,0.00568906718654499,1.7263491561701487,0.05410916752848814,1.4385398716719917,0.05414675742325831
25600,RigolDS0m9.csv,1.0716572620666212,0.004086198448894521,-0.9859466787549549,0.004037085046627897,1.7178052380699331,0.03627447129999613,1.5277276952982628,0.04063342492504278
